title,author,totalPages,genre,currentPage,notes
"The Great Gatsby",F. Scott Fitzgerald,180,Classic,45,"Loving the prose and symbolism"
"To Kill a Mockingbird",Harper Lee,336,Classic,128,"Atticus Finch is an incredible character"
"1984",George Orwell,328,Dystopian,200,"The Party's control is terrifying"
"Pride and Prejudice",Jane Austen,432,Romance,78,"Elizabeth Bennet is so witty"
"The Hobbit",J.R.R. Tolkien,310,Fantasy,156,"Bilbo's adventure is just beginning"
"Dune",Frank Herbert,896,Science Fiction,345,"The world-building is incredible"
"The Alchemist",Paulo Coelho,208,Philosophical,67,"Following your personal legend"
"Atomic Habits",James Clear,320,Self-Help,89,"Chapter on habit stacking is great"
"The Silent Patient",Alex Michaelides,336,Thriller,210,"Couldn't put it down!"
"Project Hail Mary",Andy Weir,496,Science Fiction,78,"Rocky is my favorite character"
